Ref_Area,Year,Total_GHG,Energy_Per_Capita,Elec_Per_Capita,Renewable_%,Fossil_Elec_%,Renew_Elec_%,GDP_Total,GDP_Per_Capita,GDP_Per_Capita_PPP,Population,Urban_%,Industry_VA_%,Agri_VA_%,Forest_%,Agri_Land_%,Covid
AGO,2000,68.933,444.60207021880075,76.19697325121926,73.8,49.34256055363322,62.3038062283737,9129594970.153011,563.733795571487,6796.406339580133,16194869.0,50.5070653484197,,,62.3314430095452,35.71268147910484,0
AGO,2001,67.2114,447.5320651897295,83.59602388648902,72.8,48.9010989010989,61.685592185592185,8936079117.731356,533.5862024124473,6848.68325514498,16747208.0,51.7224790407329,,,61.886218817678674,35.62605277933745,0
AGO,2002,64.9216,451.4249321488849,86.97057814773906,70.8,45.43909348441926,64.04532577903683,17311512432.450966,999.065855913758,7523.812914880418,17327699.0,52.8926234794038,51.91965219310748,9.386790603934498,61.44099462581214,35.64450148391754,0
AGO,2003,65.3759,468.0464384366769,96.80271283890424,65.6,46.81704260651629,61.69022556390977,20342128111.975285,1133.663319606071,7518.88948314505,17943712.0,54.0043545370761,48.9228549611473,10.00007684629395,60.995770433945616,35.693430656934304,0
AGO,2004,70.6393,455.9567202653719,88.86894669008333,62.3,29.82612572447615,77.1440035666518,26997977896.592377,1451.471178724934,8081.757079526723,18600423.0,55.0445280863936,50.29787706977377,10.363591444992622,60.55054624207909,35.541830432341385,0
AGO,2005,68.6988,415.6993263929164,102.37849344578068,68.9,22.56351915054987,83.43951459992415,41396636383.3725,2145.8862109632746,8895.376604610363,19291161.0,56.0,56.12429841911485,8.565367316813552,60.10532205021256,35.43996149835566,0
AGO,2006,61.2209,446.8187750858796,129.55102949102033,62.6,20.750921890714046,85.15822996982904,58653659979.71097,2930.444286073203,9588.822388609622,20015279.0,56.8939032662772,54.221423296271595,8.441008978432754,59.66009785834603,35.403064089195475,0
AGO,2007,59.7285,471.6923918498875,135.18741745398057,58.9,28.76543209876543,88.89537037037037,73037821926.68129,3515.0567898653467,10437.589989717875,20778561.0,57.7564632930133,57.90527823970404,8.616240421865545,59.214873666479505,35.48969278896286,0
AGO,2008,63.0361,497.7435915654799,168.45350185171412,55.4,26.75882498148605,78.55171562577141,98790432989.40668,4578.155264515174,11134.704718366622,21578655.0,58.5851745819614,56.20782634838291,7.818318032957952,58.769649474612976,35.449586909440924,0
AGO,2009,64.5384,530.4478504897329,197.3252193988313,53.0,37.13878713878714,67.87952787952788,81705175408.38931,3645.1484656297575,10933.271218798864,22414773.0,59.3775316348744,40.97232183238786,10.366147457300096,58.32442528274645,35.79850806128179,0
AGO,2010,71.665,513.0093641415937,206.99876474710584,53.1,35.34593503395118,67.6379152138007,95546919754.76326,4101.637155667117,11077.13019194049,23294825.0,60.1310289535053,48.55013870934552,10.091306858865346,57.87920109087993,35.97497393117831,0
AGO,2011,70.5619,511.9963822479043,206.95049770521132,51.7,32.25349619401664,71.56877323420075,125551634704.47304,5184.152691499118,11037.638877857707,24218352.0,60.8431610396073,52.17066300522859,9.556306022164444,57.4339760968958,36.34876072832277,0
AGO,2012,72.492,557.5769583781785,271.7119968810116,49.0,31.40077821011673,49.80337224383917,143572907527.97626,5702.453062774339,11519.993386336422,25177394.0,61.5114223949332,53.361103646772214,9.696979323666032,56.988751102911685,36.33833319964707,0
AGO,2013,77.0263,538.4945934026712,276.0874766200839,46.8,44.2397445345124,44.68926553672317,148845200696.79153,5688.57916215215,11626.187721848446,26165620.0,62.1333075212361,50.37504053971207,10.329550703440448,56.543526108927566,36.486724953878245,0
AGO,2014,78.9976,473.6146614985091,310.37412821411647,47.5,49.36322492369224,53.430270497842336,153449860496.4016,5649.687624691393,11721.664415633966,27160769.0,62.723115793241,43.99663620995666,11.478215893010914,56.09830111494345,36.63591882569985,0
AGO,2015,83.5369,543.3609239837007,306.16740698260566,47.1,47.51955537258131,52.30969534787978,102543067840.73212,3641.72893919944,11392.905934493156,28157798.0,63.51567832685,36.73388413490781,13.663772327979595,55.653076120959334,36.72816234860031,0
AGO,2016,80.6255,487.9489734765259,331.66490023153835,48.1,42.45819581958196,59.054088742207554,59878249719.32792,2051.81462126253,10805.712253366695,29183070.0,64.2992302517989,37.394351326160795,14.67114132695616,55.20784471003449,36.75623646426566,0
