Ref_Area,ln_Population,ln_GDP_Per_Capita_PPP,ln_Energy_Per_Capita,Renewable_%,Urban_%,Forest_%,Agri_VA_%
AGO,16.964078999172358,9.22201512479484,6.184204536665334,55.63529411764706,59.80410525535974,57.87919948664474,10.665466478145778
ARE,15.620135358359317,11.300355113679728,9.143464183817533,0.11578947368421054,82.7622075664006,4.435677866872194,1.1479596192794599
ARG,17.525397981641003,10.143907774248294,7.482360907577953,9.494736842105263,90.66866348857744,11.23475900872183,6.6807410405013234
ARM,14.914348848716088,9.483165954198027,6.947769687649904,9.728571428571428,64.53545048625666,11.574228511214812,16.709949504078647
AUS,16.891139171302473,10.857108760909645,8.62286944673001,8.200000000000001,86.12756635129989,17.109791258796363,2.647636658376999
AUT,15.940279709435018,10.984607949818887,8.26398671667378,29.910526315789472,67.20847851006998,46.81001097022732,1.3637985379572513
AZE,16.0027594951225,9.540670906833244,7.294632653080583,2.7421052631578946,53.455002413895215,12.545841868861586,7.990045111660709
BEL,16.19654518807478,10.921089327555931,8.55576534220034,5.436842105263158,84.60969802921585,22.515617296964827,0.850267296197535
BEN,16.06563489551517,7.929156485619302,5.841268135610118,54.531578947368416,42.62480886126318,32.68135863781483,26.212887909673547
BFA,16.56790317609573,7.5078432221543805,5.279260199380426,80.76842105263158,23.184997614061064,24.731244228993535,24.006843426178353
BGD,18.82620999069229,8.294412069803707,5.243539895743231,42.97894736842105,27.115605886223378,14.565879396578563,17.25584160244365
BGR,15.817888082889798,9.903904030008952,7.834120255552736,12.81578947368421,71.38625108812307,33.692224359893885,6.038531418598332
BHR,14.032112379746453,10.885853615304772,9.25914550419171,0.0,98.60407973152869,0.7225655648529015,0.28585134668579987
BIH,15.159586626422657,9.343569127356739,7.303005016868637,19.98421052631579,45.525591863215276,41.54795949835526,7.25590359117432
BLR,16.076424595243942,9.896998971559803,7.934643175487817,6.868421052631579,73.93684075241381,42.09944490820078,8.354237780210237
BOL,16.117157079554925,9.12521011491364,6.420872526611477,20.74736842105263,65.86387840145024,49.15684142508028,10.86737646637387
