Ref_Area,Year,Total_GHG,Energy_Per_Capita,Elec_Per_Capita,Renewable_%,Fossil_Elec_%,Renew_Elec_%,GDP_Total,GDP_Per_Capita,GDP_Per_Capita_PPP,Population,Urban_%,Industry_VA_%,Agri_VA_%,Forest_%,Agri_Land_%,Covid,Country,Event_Count,Total_Deaths,Total_Affected,Econ_Loss_Adj_M,Econ_Loss_Raw_M,Insured_Loss_M,Flood_Count,Storm_Count,Earthquake_Count,Other_Count
PHL,2014,181.1384,465.62749766594874,672.7467551622561,32.4,74.35996997230204,25.73630668875543,297483555338.0443,2866.838037614072,7340.3615859119955,103767130.0,50.2392400212368,31.047444475339443,12.271681621144587,23.40699600898816,41.91568568266425,0,Philippines,13.0,331.0,13274658.0,1409.451,1063.69,0.0,3.0,9.0,0.0,1.0
PHL,2015,190.6338,499.0723638328555,711.5361417136454,30.8,74.56347906276922,25.52797427652733,306445871242.32245,2909.8581801030064,7691.763086850469,105312992.0,51.1549047745227,30.481950983496706,10.996499154862333,23.52399637790522,42.01294563504041,0,Philippines,16.0,201.0,4019201.0,2601.93,1965.966,0.0,5.0,10.0,0.0,1.0
PHL,2016,202.623,520.9824171822368,773.0401853572561,28.6,75.79325308104893,24.324596085859977,318627003016.73126,2985.195640240464,8131.825379486535,106735719.0,51.9114748151175,30.28591716726943,10.205125532561595,23.641010161988127,42.11020558741658,0,Philippines,11.0,87.0,5534812.0,235.356,180.074,0.0,2.0,8.0,1.0,0.0
PHL,2017,220.8073,544.4771879866964,796.4414031401292,27.8,75.4275723217124,24.685256220065273,328480736802.7598,3038.1212495928917,8584.136227096995,108119693.0,52.6010482354344,30.126550576772495,10.182954131410888,23.758023946071035,42.22423449709897,0,Philippines,14.0,233.0,4869805.0,206.311,161.21392,0.0,3.0,8.0,3.0,0.0
PHL,2018,226.906,554.5019928189207,829.148696243769,27.6,76.61781805059942,23.48852850083693,346841896587.31256,3168.5103660972686,9016.286596376083,109465287.0,53.2088897464754,30.5637401548214,9.650140358153063,23.87500419223933,42.301371700707655,0,Philippines,9.0,313.0,9614945.0,711.698,569.712,0.0,1.0,7.0,0.0,1.0
PHL,2019,235.2167,551.8794831417125,866.9669674520886,26.9,79.21087126677418,20.93347036527183,376823402239.1359,3400.789497670743,9452.293971598096,110804683.0,53.7157859948017,30.327507879462363,8.820323747305245,23.99201797632223,42.378508904316334,0,Philippines,16.0,180.0,6798874.0,759.717,619.171,0.0,1.0,7.0,7.0,1.0
PHL,2020,225.1449,518.1706273260863,821.1185055871604,29.1,78.76271436293057,21.38658583317776,361751145451.59674,3227.579102351993,8455.184571341064,112081264.0,54.1077719895977,28.39991758505213,10.185311031761549,24.109031760405134,42.45564610792501,1,Philippines,9.0,202.0,6116533.0,1349.571,1113.474,0.0,0.0,6.0,1.0,2.0
PHL,2021,235.613,531.0454214953915,850.2492684632623,28.0,77.88045020334815,22.635048807145814,394087359848.11,3484.3859388281885,8857.789951155139,113100950.0,54.4504102510776,28.889809118545905,10.069164020487577,24.226045544488045,42.536137102994935,1,Philippines,14.0,572.0,12785052.0,1215.807,1050.235,0.0,5.0,8.0,0.0,1.0
PHL,2022,242.5967,551.0427844480262,884.8469773061815,28.0,77.86486122943101,22.635048807145814,404353369604.6311,3548.0693057211556,9457.103954028831,113964338.0,54.7902343568327,29.221239936433847,9.55176804414326,24.34305932857095,42.39259482845357,0,Philippines,12.0,609.0,7928618.0,348.865,325.471,0.0,2.0,6.0,2.0,2.0
PHL,2023,254.5314,580.1360554135003,924.6226075158288,28.0,77.86486122943101,22.635048807145814,437055627244.424,3804.0827413109687,9898.532945887462,114891199.0,55.1242716168851,28.19762250917741,9.400366528706986,24.46007311265386,42.66894724486032,0,Philippines,15.0,132.0,11286950.0,420.194,408.156,0.0,4.0,7.0,3.0,1.0
PHL,2024,266.5973,580.1360554135003,924.6226075158288,27.99999999999999,77.86486122943101,22.635048807145807,461617509782.35455,3984.8315387656016,10375.940417993756,115843670.0,55.4520983215477,27.693977993132073,9.08252678487007,24.46007311265386,42.66894724486032,0,Philippines,18.0,514.0,28665372.0,913.11,913.11,0.0,1.0,11.0,1.0,5.0
THA,2000,266.5868,1153.0455222562598,1446.8046543115329,21.8,93.15981954009814,7.131083488752514,126392224253.79382,2005.976945142342,11622.525027853724,63007815.0,31.4626212652205,36.66940838136265,8.499848120840582,37.18608702460412,42.85658360899607,0,Thailand,5.0,109.0,3365020.0,198.662,109.056,0.0,4.0,1.0,0.0,0.0
THA,2001,278.6569,1174.202791950135,1502.1097579381965,19.9,93.33626244874048,6.949521577816832,120296476180.40192,1889.934324671445,11901.31821046593,63651141.0,32.7428054763889,36.32100349466726,8.579287450086538,37.396504139834406,43.03861888077669,0,Thailand,6.0,189.0,465389.0,50.49,28.5,0.0,5.0,1.0,0.0,0.0
THA,2002,291.779,1286.144036843527,1612.5991238630515,19.9,92.49539045801876,7.79250181171053,134300904400.02176,2089.7518311155445,12512.183132496286,64266437.0,34.0732781018222,36.894431447152634,8.6921781801026,37.60692125506469,43.2206541525573,0,Thailand,6.0,190.0,8354124.0,69.979,40.127,0.0,2.0,2.0,0.0,2.0
THA,2003,305.2296,1379.291757437155,1705.2123841454063,20.2,92.69210056162008,7.5255464469196385,152280615245.88742,2347.54001286066,13287.304898745875,64868166.0,35.4270354382579,37.91817489203858,9.441354957962282,37.817338370294976,43.40268942433792,0,Thailand,4.0,9.0,112700.0,45.017,26.4,25.0,3.0,1.0,0.0,0.0
THA,2004,327.0301,1477.384808771037,1814.488704990388,19.9,94.06730455669825,6.394537370652287,172895685154.65817,2641.5626871785717,13997.001386729184,65452047.0,36.785516284484,37.90230249506707,9.291110139048143,38.02775548552526,43.584724696118535,0,Thailand,7.0,8375.0,583167.0,1951.387,1175.0,250.0,3.0,2.0,1.0,1.0
THA,2005,338.8722,1508.5802606271875,1897.3628475635671,20.1,94.3440471417657,6.175518355182039,189318408468.5952,2867.703834360616,14458.25518106945,66017420.0,38.1301594392881,38.50521071163613,9.194355282371808,38.23817260075554,43.766759967899155,0,Thailand,6.0,86.0,822810.0,1057.313,658.246,0.0,2.0,2.0,0.0,2.0
THA,2006,343.8979,1525.126557576666,1982.5084203391357,20.5,92.80174712776233,7.629939023511266,221758296021.62064,3331.3204351177264,15051.060674871884,66567687.0,39.4424037014582,39.14685588390604,9.40199346621521,38.44858971598583,43.948795239679775,0,Thailand,3.0,280.0,2557308.0,54.369,34.94,0.0,3.0,0.0,0.0,0.0
