Feature,Importance
Country_Enc,0.9849740044729274
ln_Population,0.006867805156108306
ln_GDP_Per_Capita_PPP,0.0018476146799570265
Urban_%,0.0015839216054400805
ln_Energy_Per_Capita,0.001464723132015449
Forest_%,0.0012070226496298643
Agri_VA_%,0.001034757868762343
Renewable_%,0.001020150435159441
