Country,Actual_2024,BAU_2030,Mit_2030,Reduction_Mt,Reduction_Pct
Thailand,422.3873,413.8913208674188,348.34751547146766,65.54380539595115,15.835994158704938
Philippines,266.5973,283.31102120274807,245.68072940976865,37.63029179297942,13.282325422154956
